mean_fit_time	mean_score_time	mean_test_score	param_estimator__alpha	param_estimator__fit_intercept	param_estimator__learning_rate	param_estimator__loss	param_estimator__penalty	param_estimator__random_state	param_preprocessing_2__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.19680333137512207	0.00576631228129069	0.4510998205468314	1e-06	True	optimal	huber	elasticnet	3111696	8	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'elasticnet', 'estimator__random_state': 3111696, 'preprocessing_2__k': 8}	1364	0.44736185096878767	0.494137600115077	0.4118000105566296	0.0035847050631380496	5.916443497000048e-05	0.033717937619795406
0.21094274520874023	0.006127198537190755	0.4599801952346894	1e-06	True	optimal	huber	elasticnet	3111696	9	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'elasticnet', 'estimator__random_state': 3111696, 'preprocessing_2__k': 9}	1252	0.44580141313118915	0.46737462296061427	0.46676454961226477	0.002354621315865018	0.00012330956256921546	0.010029006059974097
0.21662529309590658	0.005995035171508789	0.4681024803247568	1e-06	True	optimal	huber	elasticnet	3111696	10	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'elasticnet', 'estimator__random_state': 3111696, 'preprocessing_2__k': 10}	1225	0.43086900814066165	0.49096140590033266	0.4824770269332761	0.0009572206628167414	0.00020994377100707354	0.026554908645760125
0.12426098187764485	0.004272063573201497	0.3807372684843258	1e-06	True	optimal	huber	none	3111696	1	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'none', 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	1608	0.36363302980174705	0.38111937578097377	0.3974593998702566	0.002029320015747723	8.112594812265899e-05	0.013812200705476615
0.12539291381835938	0.004500945409138997	0.41820160014676727	1e-06	True	optimal	huber	none	3111696	2	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'none', 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	1460	0.42546088537426474	0.4502108386680298	0.3789330763980072	0.0006460255154753362	5.8445899336734316e-05	0.029548296793172207
0.1282652219136556	0.004700104395548503	0.4416901503880005	1e-06	True	optimal	huber	none	3111696	3	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'none', 'estimator__random_state': 3111696, 'preprocessing_2__k': 3}	1424	0.45515235191276193	0.48611151027952715	0.3838065889717125	0.0015168431883485676	4.327426744407486e-05	0.04283687962001515
0.13800382614135742	0.004894574483235677	0.45016326493375547	1e-06	True	optimal	huber	none	3111696	4	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'none', 'estimator__random_state': 3111696, 'preprocessing_2__k': 4}	1384	0.45629339748649256	0.48395774523869917	0.4102386520760747	0.0019129959882156333	7.465873494047027e-05	0.03040625010328767
0.14359513918558756	0.005297183990478516	0.4618744465453196	1e-06	True	optimal	huber	none	3111696	5	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'none', 'estimator__random_state': 3111696, 'preprocessing_2__k': 5}	1238	0.4417276919753642	0.4981619794906441	0.4457336681699505	0.00020834167514874465	0.0003642172923410594	0.02571122642947248
0.1709171930948893	0.006005922953287761	0.46583743444404063	1e-06	True	optimal	huber	none	3111696	6	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'none', 'estimator__random_state': 3111696, 'preprocessing_2__k': 6}	1230	0.44381456757715365	0.5027283907296642	0.45096934502530384	0.0009773144927447024	8.262418323108317e-05	0.0262488692052818
0.17666117350260416	0.006217797597249349	0.45878237272722117	1e-06	True	optimal	huber	none	3111696	7	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'none', 'estimator__random_state': 3111696, 'preprocessing_2__k': 7}	1253	0.4446511199173101	0.48927211518142744	0.4424238830829259	0.004266455017738996	0.00018042530649313378	0.021578669130601816
