mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__max_features	param_estimator__max_samples	param_estimator__n_estimators	param_estimator__random_state	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.15999445915222169	0.0021484739482697706	0.015166854858398438	0.0007539172859807481	0.25	0.1	200	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.1, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.8152190280620824	0.7675427102101506	0.779548995906033	0.8181210431503171	0.7813125359872215	0.7923488626631611	0.02043639913221918	42
0.013130617141723634	0.001544352030665244	0.0015765190124511718	0.0002587491098948593	0.25	0.25	10	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.25, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.8509637060000866	0.754388295245207	0.8445082220692655	0.8160749423628668	0.7899523887108205	0.8111775108776492	0.03575858858835683	20
0.04427495002746582	0.00015793107267892775	0.004221677780151367	5.3302844541693976e-05	0.25	0.25	50	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.25, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.8166108505368651	0.774897727412975	0.8047417716281912	0.834151471373102	0.8248835080774789	0.8110570658057226	0.020507302566620873	21
0.09516282081604004	0.00441335239437055	0.008840322494506836	0.00032848622764351803	0.25	0.25	100	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.25, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.8085456800970929	0.7649484013481193	0.786485407981573	0.8312986610565238	0.8113441032213179	0.8005244507409255	0.022764916133066252	39
0.1782911777496338	0.007595442091404878	0.015771150588989258	0.0011195407994825475	0.25	0.25	200	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.25, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.8192558558235026	0.7692208230022546	0.7834939684117374	0.8279078546550267	0.8115030757789287	0.8022763155342901	0.022252441846729563	35
0.01234607696533203	0.00019391258296702754	0.0014452934265136719	6.154876171940542e-05	0.25	0.5	10	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.842207498063789	0.7184730197767941	0.8458537660490104	0.7842648759327095	0.8198833989561766	0.8021365117556958	0.04722459005443987	36
0.04916749000549316	0.0016336748531696743	0.004467582702636719	0.00022470703047741913	0.25	0.5	50	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.8408318587531465	0.7460813084502725	0.8200493750839073	0.8306490922311707	0.8254074831552685	0.812603823534753	0.03396194530744915	17
0.0949178695678711	0.00262534436058806	0.00823206901550293	0.00028327175098410604	0.25	0.5	100	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.831909652745269	0.7615033548829493	0.7989286318457036	0.8351014028696275	0.8162691354308357	0.808742435554877	0.026892407133764413	28
0.1820908546447754	0.0032238958383026092	0.014912652969360351	0.00014443738340813036	0.25	0.5	200	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.8321341003863775	0.7619332737495492	0.7984700631562198	0.838148814465653	0.8150750398174588	0.8091522583150517	0.02737804401749739	25
0.013375568389892577	0.00015830967799705632	0.0014582633972167968	1.1549503904303706e-05	0.25	1.0	10	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.8280321230281683	0.7113264658766614	0.8465390725571349	0.7826703944740481	0.8267653367690176	0.7990666785410061	0.04863542718056966	40
0.056519508361816406	0.004059990457842723	0.0044901371002197266	0.00023063899110591573	0.25	1.0	50	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.8336366477812398	0.7677225036009495	0.8117332591690947	0.8290842037910575	0.8331877281302533	0.815072868494519	0.024989156063465235	13
0.10305123329162598	0.0011250897458005033	0.008047866821289062	3.912082012161642e-05	0.25	1.0	100	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.8302146771560968	0.7647529412892129	0.7987689193782245	0.8299681063575757	0.8252678377480831	0.8097944963858386	0.025352268729908714	24
